✅ Query: Q7 → Job: Nexmark_Q7_Isolated__Benchmark_Driver_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose/latency_data.csv
開始監控 Job: Nexmark_Q7_Isolated__Benchmark_Driver_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
等待 Flink 指標數據 (Job 可能正在重啟中)...
[16:31:06] Time: 363s | Total Latency: 23619.00 ms | Throughput: 189305.97 records/s
[16:31:08] Time: 365s | Total Latency: 23619.00 ms | Throughput: 188807.70 records/s
[16:31:10] Time: 367s | Total Latency: 23619.00 ms | Throughput: 188807.70 records/s
[16:31:12] Time: 369s | Total Latency: 19388.00 ms | Throughput: 187144.00 records/s
[16:31:14] Time: 371s | Total Latency: 19388.00 ms | Throughput: 185785.33 records/s
[16:31:16] Time: 373s | Total Latency: 17183.00 ms | Throughput: 190914.57 records/s
[16:31:18] Time: 375s | Total Latency: 17183.00 ms | Throughput: 194956.60 records/s
[16:31:20] Time: 377s | Total Latency: 17183.00 ms | Throughput: 194956.60 records/s
[16:31:22] Time: 379s | Total Latency: 15126.00 ms | Throughput: 196313.07 records/s
[16:31:24] Time: 381s | Total Latency: 15126.00 ms | Throughput: 195195.90 records/s
[16:31:26] Time: 383s | Total Latency: 13695.00 ms | Throughput: 194390.50 records/s
[16:31:28] Time: 385s | Total Latency: 13695.00 ms | Throughput: 190754.07 records/s
[16:31:30] Time: 387s | Total Latency: 13695.00 ms | Throughput: 190754.07 records/s
[16:31:32] Time: 389s | Total Latency: 12328.00 ms | Throughput: 189477.30 records/s
[16:31:34] Time: 391s | Total Latency: 12328.00 ms | Throughput: 188605.77 records/s
[16:31:36] Time: 393s | Total Latency: 9340.00 ms | Throughput: 187665.80 records/s
[16:31:38] Time: 395s | Total Latency: 9340.00 ms | Throughput: 188919.37 records/s
[16:31:40] Time: 397s | Total Latency: 9340.00 ms | Throughput: 188919.37 records/s
[16:31:42] Time: 399s | Total Latency: 6695.00 ms | Throughput: 189658.03 records/s
[16:31:44] Time: 401s | Total Latency: 6695.00 ms | Throughput: 189660.27 records/s
[16:31:46] Time: 403s | Total Latency: 6426.00 ms | Throughput: 190580.03 records/s
[16:31:48] Time: 405s | Total Latency: 6426.00 ms | Throughput: 189124.53 records/s
[16:31:50] Time: 407s | Total Latency: 6426.00 ms | Throughput: 189124.53 records/s
[16:31:52] Time: 409s | Total Latency: 5654.00 ms | Throughput: 189816.77 records/s
[16:31:54] Time: 411s | Total Latency: 5654.00 ms | Throughput: 188474.03 records/s
[16:31:56] Time: 413s | Total Latency: 5654.00 ms | Throughput: 184297.17 records/s
[16:31:58] Time: 415s | Total Latency: 4863.00 ms | Throughput: 184071.30 records/s
[16:32:00] Time: 417s | Total Latency: 4863.00 ms | Throughput: 184071.30 records/s
[16:32:02] Time: 419s | Total Latency: 4833.00 ms | Throughput: 180564.17 records/s
